"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.1200431298928e-34,11.0071175306244,0.3,0.031,2.09450910521118e-29,"13","Chi3l3"
0,10.5016156533639,0.383,0.004,0,"13","F10"
0,10.4737148541411,0.6,0.002,0,"13","Ear2"
0,12.7668928834684,0.847,0.002,0,"14","C1ql1"
0,11.4934153082434,0.39,0.001,0,"14","Chst5"
0,11.1350728355283,0.627,0.003,0,"14","Neu4"
0,10.9541043308418,0.271,0,0,"14","Sox3"
0,10.5806391619451,0.729,0.011,0,"14","Matn4"
0,10.4533931136938,0.695,0.01,0,"14","Gpr17"
0,10.3306259803546,0.271,0.001,0,"14","Dll3"
0,10.1807867717395,0.881,0.012,0,"14","Pdgfra"
0,9.87769844990592,0.644,0.002,0,"14","Nxph1"
0,9.62130670074238,0.559,0.003,0,"14","Ppapdc1a"
0,14.5819714393421,0.364,0,0,"15","Kcne2"
0,14.5154357465871,0.727,0.002,0,"15","Cox8b"
1.23891740617248e-113,13.822257907383,1,0.044,2.84529771501571e-109,"15","Ttr"
0,13.7111181698192,0.364,0,0,"15","1110059M19Rik"
0,12.3009666937196,0.909,0.001,0,"15","Wdr86"
0,12.2863244380427,1,0.003,0,"15","Clic6"
0,12.0981975198614,0.364,0,0,"15","Tlx2"
0,11.6617179037609,0.909,0.003,0,"15","Folr1"
0,11.5950869258425,0.773,0.001,0,"15","Ccdc135"
0,11.2783062713453,0.364,0.001,0,"15","Cndp1"
