"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell_type"
"Slc40a1",6.31336544711043e-18,-0.923440970627943,0.469,0.66,1.44992750858338e-13,"Endothelial"
"Polr2g",0.171358911876511,0.923290306753061,0.323,0.31,1,"Endothelial"
"Elof1",0.438182146989804,0.923209317182915,0.228,0.228,1,"Endothelial"
"2310009A05Rik",0.831682518745944,0.923207970222236,0.139,0.145,1,"Endothelial"
"Mrps21",0.710113387875582,0.923136431989436,0.455,0.451,1,"Endothelial"
"Fam13a",3.57085371957797e-05,-0.921416522979814,0.05,0.105,0.820082265238278,"Endothelial"
"Timm17b",0.741317903329881,0.921221877375699,0.194,0.214,1,"Endothelial"
"Sesn1",9.84293897804244e-14,-0.921095419139144,0.261,0.449,2.26052936569723e-09,"Endothelial"
"Ndufc1",0.717709805046512,0.920738879507415,0.446,0.44,1,"Endothelial"
"Ddx6",3.53897207110043e-10,-0.920291962512588,0.326,0.48,8.12760325848924e-06,"Endothelial"
"Trappc2l",0.0987214138112885,0.91979705042478,0.259,0.228,1,"Endothelial"
"8430408G22Rik",0.396033138053483,0.919667425288374,0.473,0.482,1,"Endothelial"
"Tbkbp1",0.207147467988201,0.919639123864404,0.144,0.172,1,"Endothelial"
"Osbp",3.70648374118682e-05,-0.919276045375691,0.059,0.117,0.851231056000965,"Endothelial"
"Atox1",0.0318452656811073,0.918904962651579,0.91,0.956,1,"Endothelial"
"Mt1",0.20247785192303,0.918537630608062,0.783,0.851,1,"Endothelial"
"Rhot1",0.020031419277443,-0.917296197671202,0.137,0.18,1,"Endothelial"
"S1pr1",2.02269763744303e-30,-0.916795735871232,0.91,0.973,4.64532739415166e-26,"Endothelial"
"Tmcc3",1.08749708365338e-15,-0.915580301970618,0.268,0.482,2.49754580231835e-11,"Endothelial"
"Ccni",6.43020369472592e-12,-0.915367524465644,0.321,0.48,1.47676058053076e-07,"Endothelial"
"Ankrd13a",9.99208564821418e-17,-0.914392691602703,0.246,0.451,2.29478238996887e-12,"Endothelial"
"Trnt1",0.142428335615043,-0.913976358023671,0.088,0.109,1,"Endothelial"
"Car14",0.000329874281555669,0.91331939027095,0.164,0.098,1,"Endothelial"
"Tiparp",1.20228444825143e-05,-0.913292349371766,0.082,0.153,0.276116646385423,"Endothelial"
"Cep68",0.00296574911128437,-0.913181844633297,0.076,0.12,1,"Endothelial"
"Ethe1",0.665387786781086,0.91265960130025,0.122,0.119,1,"Endothelial"
"Tnfrsf1b",0.000687701997251274,-0.912156130293483,0.055,0.101,1,"Endothelial"
"Calm3",0.0250284666987047,0.911517339323388,0.341,0.426,1,"Endothelial"
"Sgk1",7.36362548884573e-08,-0.911178960674663,0.514,0.612,0.00169113022976831,"Endothelial"
"Mrpl53",0.352108455976018,0.911160204115599,0.23,0.214,1,"Endothelial"
"Sap30l",0.0128662802669817,0.911020932260396,0.138,0.189,1,"Endothelial"
"Rarg",0.342117728718351,0.91002397643237,0.135,0.159,1,"Endothelial"
"Ccdc137",0.00021082055853405,-0.90848290749089,0.056,0.107,1,"Endothelial"
"1110034G24Rik",4.22664673063739e-10,-0.908468717154448,0.198,0.335,9.70691688158184e-06,"Endothelial"
"Mir24-2",0.0117300029791863,0.908467889989674,0.466,0.444,1,"Endothelial"
"Ddhd2",0.0563830091914766,0.906694097038961,0.211,0.178,1,"Endothelial"
"Pcca",0.00021579714036096,-0.906424035170696,0.149,0.224,1,"Endothelial"
"Plod1",1.59455963298577e-10,-0.905673792758969,0.19,0.331,3.66206565311512e-06,"Endothelial"
"Ndufb10",0.923944658044541,0.903715522715871,0.574,0.629,1,"Endothelial"
"Abi3",0.206533851588691,0.903249144265669,0.086,0.107,1,"Endothelial"
"Vcl",1.60214722327066e-09,-0.902748989589424,0.231,0.373,3.67949131296339e-05,"Endothelial"
"Bin1",0.0311593877752676,0.902403470572136,0.072,0.107,1,"Endothelial"
"Psmd2",2.69554492359961e-13,-0.901972055037401,0.29,0.465,6.19058847153885e-09,"Endothelial"
"Cnot2",0.00136202523860451,-0.900787045510682,0.123,0.182,1,"Endothelial"
"Fes",0.026356755494942,-0.900529761124007,0.089,0.124,1,"Endothelial"
"Ndufs7",0.0466032661913606,0.897642110473264,0.529,0.509,1,"Endothelial"
"Gsk3a",0.0178102314401006,-0.89723449519358,0.087,0.122,1,"Endothelial"
"Prkx",5.73877727821697e-06,-0.896991376068697,0.198,0.296,0.131796758971531,"Endothelial"
"Rcl1",0.0241677247660784,-0.896435131948932,0.069,0.101,1,"Endothelial"
"Tbc1d14",1.36145394875212e-12,-0.896170042084564,0.114,0.25,3.12671513870412e-08,"Endothelial"
"Bzw1",2.60082310533417e-12,-0.895866168315882,0.247,0.421,5.97305034371046e-08,"Endothelial"
"Mtap",0.00317316420583613,-0.89541484365354,0.103,0.153,1,"Endothelial"
"Rhoc",0.068456038618733,0.894198367138661,0.589,0.696,1,"Endothelial"
"Gsr",0.00142535694588595,-0.893507609418472,0.121,0.178,1,"Endothelial"
"D230025D16Rik",0.000639414013308772,-0.893083819829788,0.064,0.113,1,"Endothelial"
"D730040F13Rik",7.34540617480145e-06,-0.893025048583722,0.086,0.161,0.16869459821049,"Endothelial"
"B4galt3",2.7415494880853e-06,-0.892496167911774,0.055,0.122,0.062962425543367,"Endothelial"
"2310003F16Rik",0.150076731068597,0.892055564250731,0.477,0.47,1,"Endothelial"
"Usp42",1.9889972265277e-08,-0.891045786185451,0.076,0.166,0.000456793103044351,"Endothelial"
"2610035D17Rik",1.6744012576311e-05,-0.890320124703119,0.054,0.115,0.384542992827557,"Endothelial"
"Trappc6a",0.143440271191242,0.889863213155036,0.146,0.122,1,"Endothelial"
"Cib1",0.254491219337929,0.888982136514899,0.253,0.237,1,"Endothelial"
"Ebpl",0.00282298357834428,0.888963566630008,0.139,0.088,1,"Endothelial"
"Adsl",0.00707671771302588,-0.888087461467689,0.139,0.187,1,"Endothelial"
"Lrrc59",3.17035182235635e-05,-0.887718225612736,0.143,0.222,0.728102999522359,"Endothelial"
"Cd9",0.172494747700302,0.887482529623491,0.391,0.423,1,"Endothelial"
"Zdhhc17",0.000188512326769725,-0.886458679080785,0.086,0.145,1,"Endothelial"
"Tnfsf10",0.111290122636163,0.885709956531652,0.274,0.249,1,"Endothelial"
"Tubb4a",1.8426167510315e-24,0.885603228049866,0.02,0.155,4.23175363041895e-20,"Endothelial"
"Psmb3",0.305619430815366,0.885149364027285,0.596,0.616,1,"Endothelial"
"Copa",2.79294510321098e-14,-0.885146090772041,0.181,0.354,6.41427772403435e-10,"Endothelial"
"Rps15",0.416457522473506,0.884831004289068,0.805,0.868,1,"Endothelial"
"Foxf1a",0.156420009433248,-0.884379220319745,0.139,0.161,1,"Endothelial"
"Mrpl51",0.0876518113586651,0.88378324554479,0.301,0.275,1,"Endothelial"
"Nav2",0.594932518389217,0.883666347697377,0.145,0.161,1,"Endothelial"
"Rufy2",0.000918393117959056,-0.882641852543809,0.134,0.193,1,"Endothelial"
"6330409N04Rik",0.0117825698254062,-0.882411581398901,0.076,0.113,1,"Endothelial"
"Arfgef1",0.00305045083088377,-0.88190056914479,0.102,0.153,1,"Endothelial"
"Trmt112",0.422267045627851,0.881751190983657,0.331,0.327,1,"Endothelial"
"Ppp1r18",0.0531992006447662,0.880974562342117,0.132,0.174,1,"Endothelial"
"1810063B07Rik",0.48601278410482,0.87797211686308,0.21,0.231,1,"Endothelial"
"Pkn3",0.00033635034590093,-0.877408624902233,0.111,0.174,1,"Endothelial"
"Romo1",0.30813448632496,0.877374712117634,0.471,0.503,1,"Endothelial"
"Bysl",0.0744045609165826,-0.876947037732161,0.161,0.191,1,"Endothelial"
"Egr1",4.12318965425493e-08,-0.876746424668929,0.408,0.533,0.000946931735996186,"Endothelial"
"Smad4",1.27194135537478e-09,-0.876430526802045,0.16,0.294,2.92114051675373e-05,"Endothelial"
"Odc1",0.00020512058733562,-0.875862657891712,0.106,0.174,1,"Endothelial"
"Cdk16",8.29762210967041e-05,-0.874699642536633,0.122,0.195,1,"Endothelial"
"Axin2",1.30072827996597e-07,-0.874536229848062,0.179,0.294,0.00298725256776984,"Endothelial"
"Bola2",0.00201867122563122,0.874405653865624,0.22,0.289,1,"Endothelial"
"Hbs1l",0.000620642921269646,-0.873409597587137,0.093,0.149,1,"Endothelial"
"Plekha1",7.0904507190994e-07,-0.873394161368877,0.165,0.268,0.0162839291214837,"Endothelial"
"Zfp68",0.00314797105609795,-0.873285427727784,0.124,0.176,1,"Endothelial"
"Rcn1",3.53484783676983e-05,-0.872599746404128,0.052,0.109,0.811813154192559,"Endothelial"
"Atp13a3",5.93706482919578e-06,-0.872579068158456,0.082,0.157,0.13635063086731,"Endothelial"
"Megf6",0.0322199344779461,0.872460395620487,0.122,0.168,1,"Endothelial"
"Wbp2",0.0311061484345649,0.872135500964436,0.463,0.455,1,"Endothelial"
"Smu1",5.76035686664453e-08,-0.871169022832964,0.233,0.354,0.00132292355799358,"Endothelial"
"Traf7",3.19468661863611e-06,-0.870463456536436,0.11,0.195,0.0733691728835969,"Endothelial"
"1500003O03Rik",1.42852735136568e-05,-0.870370986866175,0.207,0.302,0.328075591514643,"Endothelial"
"Myo1e",7.90297879211761e-13,-0.870289834806447,0.22,0.386,1.81499810939773e-08,"Endothelial"
"Cdk13",1.92067183760367e-09,-0.87022464565386,0.107,0.216,4.41101494224059e-05,"Endothelial"
"Dcaf10",0.000166431171765352,-0.870116278625044,0.059,0.113,1,"Endothelial"
"1500032L24Rik",0.98878439739359,0.869942769017193,0.574,0.633,1,"Endothelial"
"Slc19a3",4.43766883224993e-11,-0.869778654953635,0.317,0.472,1.01915502401452e-06,"Endothelial"
"Plscr1",0.00219761296855592,0.869700640518706,0.257,0.193,1,"Endothelial"
"Nucb2",0.683929104301107,0.869520070306725,0.104,0.099,1,"Endothelial"
"4930453N24Rik",0.00703270736292527,-0.868982507396218,0.088,0.13,1,"Endothelial"
"1110003E01Rik",0.358617545885374,0.867850477109672,0.531,0.591,1,"Endothelial"
"Fnip1",0.0323064783936519,-0.867756429782323,0.077,0.109,1,"Endothelial"
"Tmx1",8.10725400810481e-09,-0.867560637568398,0.165,0.285,0.000186191195550135,"Endothelial"
"Rps19bp1",0.174030708710441,0.866134496564299,0.133,0.111,1,"Endothelial"
"Kdm2a",4.33382974038013e-10,-0.86526477803485,0.1,0.216,9.95307338175702e-06,"Endothelial"
"Rasgrp4",0.000405023250830128,-0.864951034383794,0.103,0.164,1,"Endothelial"
"Gstp1",2.19330813094494e-05,0.864621592203815,0.643,0.635,0.503715145352816,"Endothelial"
"Tmem219",0.531753331477659,0.864549112712819,0.137,0.128,1,"Endothelial"
"Arcn1",1.22683287775274e-05,-0.864320617756242,0.181,0.273,0.281754438704695,"Endothelial"
"Rpl30",0.637790724134825,0.864113686332936,0.172,0.184,1,"Endothelial"
"Ndufaf2",0.873393994902639,0.863978160439244,0.122,0.122,1,"Endothelial"
"Gdi2",6.53480559975621e-13,-0.863896616726478,0.401,0.566,1.50078345404001e-08,"Endothelial"
"Gtf3c5",0.000253613278849915,-0.863664599366135,0.061,0.113,1,"Endothelial"
"Pigq",0.000107041708876768,-0.863487114942212,0.079,0.14,1,"Endothelial"
"Slc52a2",1.14689024640959e-10,-0.862532961192154,0.156,0.293,2.63394813990426e-06,"Endothelial"
"Ghr",0.0106188033239511,-0.862332326196339,0.064,0.101,1,"Endothelial"
"Xab2",0.800725591662889,0.861500061106076,0.144,0.147,1,"Endothelial"
"Snrpd1",0.924495221293191,0.86110893190226,0.265,0.283,1,"Endothelial"
"Mxi1",0.00129048003791782,-0.860776899537229,0.188,0.252,1,"Endothelial"
"Mat2a",9.15371639054886e-15,-0.860742070269205,0.467,0.665,2.10224250625345e-10,"Endothelial"
"Dpm3",0.827693443583652,0.859564627398101,0.435,0.44,1,"Endothelial"
"Osbpl8",3.91627808209158e-07,-0.859015643884507,0.155,0.26,0.00899412424333151,"Endothelial"
"Copb2",4.06279799410864e-06,-0.858435753300516,0.177,0.273,0.093306218732699,"Endothelial"
"Hgsnat",0.00127283596325971,-0.858432168296257,0.088,0.141,1,"Endothelial"
"Rcbtb2",0.00331150708053518,-0.858308254310055,0.065,0.107,1,"Endothelial"
"Bsg",2.28469965789059e-56,0.857521443717085,0.999,1,5.24704123431154e-52,"Endothelial"
"Pfkm",0.000253620237697586,-0.856975791672104,0.071,0.126,1,"Endothelial"
"Unc93b1",0.00359468331426615,0.85688339070097,0.123,0.187,1,"Endothelial"
"Ilkap",0.439449811132827,0.856285400672081,0.182,0.207,1,"Endothelial"
"Ssx2ip",0.000249278681212985,-0.855189719987845,0.1,0.164,1,"Endothelial"
"Leng8",0.460741968030082,0.854860281692881,0.216,0.203,1,"Endothelial"
"Ulk1",9.39497979760856e-06,-0.854287424843978,0.063,0.128,0.215765106031878,"Endothelial"
"Rasip1",1.62379768877083e-21,-0.853856315574529,0.541,0.74,3.72921377203108e-17,"Endothelial"
"6820431F20Rik",0.120673380806665,-0.853667219388722,0.144,0.172,1,"Endothelial"
"Gripap1",0.00550806208204257,-0.853482735447413,0.081,0.124,1,"Endothelial"
"Cst3",0.0001333272308043,0.853114862009027,0.948,0.983,1,"Endothelial"
"Usf2",0.403576799049034,0.853087694914346,0.144,0.163,1,"Endothelial"
"Tmem51",9.78017706436415e-05,-0.853075944491214,0.094,0.161,1,"Endothelial"
"Agpat4",0.00100163937915919,-0.852801611184097,0.119,0.18,1,"Endothelial"
"Prpsap1",0.00101842879924572,-0.852432009969975,0.213,0.285,1,"Endothelial"
"Lsm14b",8.03532942865878e-05,-0.852264950356021,0.153,0.229,1,"Endothelial"
"Atad1",0.00412281292688365,-0.85211347376897,0.082,0.126,1,"Endothelial"
