"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.549494217225e-140,1.17685461936199,0.879,0.735,1.04483684192789e-135,"2","Rpl31"
5.033595711917e-140,1.4867812046487,0.374,0.134,1.15601559119886e-135,"2","Pla2g16"
1.24823247411674e-138,1.18450482628522,0.856,0.638,2.8666907000565e-134,"2","Slc3a2"
4.05295215728454e-137,1.69303250735626,0.508,0.245,9.30800992441968e-133,"2","Cetn3"
4.64502923680618e-137,1.77083791802968,0.373,0.141,1.06677741452491e-132,"2","Ap3s1"
7.48614330367428e-137,0.960357014548326,0.841,0.58,1.71926767112184e-132,"2","Prdx1"
5.06709636208055e-136,1.15128943767035,0.889,0.732,1.16370935051542e-131,"2","Hmgb1"
1.25429693949644e-135,1.96329351309183,0.319,0.107,2.88061835124752e-131,"2","Cyb5b"
1.31371023153278e-134,1.81184946375834,0.621,0.364,3.01706691773818e-130,"2","Snrpg"
1.3511446800523e-134,1.42349378519771,0.442,0.184,3.10303887220811e-130,"2","BC013529"
2.19921777529689e-134,1.68409427478691,0.489,0.231,5.05072354274684e-130,"2","Smarca2"
2.49058453712304e-134,1.61949144317496,0.547,0.276,5.71987644795677e-130,"2","Ralbp1"
2.96963808335451e-134,2.00603183045177,0.333,0.117,6.82007082223196e-130,"2","Ralgapa1"
3.787807914023e-133,1.53713210928789,0.412,0.164,8.69907965534522e-129,"2","Stx12"
3.65806079587695e-132,2.00541155596941,0.318,0.108,8.401102423811e-128,"2","Fut8"
7.47577338627808e-132,1.60758404139567,0.623,0.363,1.71688611589262e-127,"2","Chmp2a"
1.18050661415333e-130,1.02537854281891,0.731,0.455,2.71115149006454e-126,"2","Map1lc3b"
1.23784452600773e-130,1.55104943730863,0.321,0.111,2.84283373842935e-126,"2","Hpcal1"
8.05740825689955e-130,1.45431062335121,0.896,0.78,1.85046438027955e-125,"2","Rps27"
1.29346028923404e-129,1.23621476355073,0.763,0.497,2.9705609002549e-125,"2","Atp5l"
2.63684349824584e-129,1.05750533459311,0.715,0.435,6.05577477807139e-125,"2","Aes"
3.0784936417565e-129,1.10322473340945,0.812,0.566,7.07006849765797e-125,"2","Arpc3"
2.08959374336209e-127,1.54618282750011,0.522,0.261,4.79896099100539e-123,"2","Pcbp2"
2.46180247045221e-127,1.43133612446293,0.656,0.394,5.65377555364056e-123,"2","D8Ertd738e"
2.5307283477698e-127,1.74965596139078,0.44,0.197,5.81207072348812e-123,"2","Ifi35"
2.66853932282974e-127,1.81474178051367,0.318,0.11,6.12856740881077e-123,"2","Smagp"
2.93530634716929e-127,2.24673155339477,0.26,0.079,6.74122455690898e-123,"2","Alg14"
5.55389699967292e-127,1.58348697628501,0.515,0.251,1.27550798494488e-122,"2","Mier1"
2.06815534771601e-124,1.51706344156991,0.621,0.351,4.7497255715646e-120,"2","Arpp19"
2.71178556806286e-124,2.0836184249481,0.584,0.324,6.22788673561316e-120,"2","Ndufa1"
9.52417317502977e-124,1.14633134889858,0.899,0.728,2.18732161137734e-119,"2","Serf2"
2.80525115419453e-122,1.71117505028551,0.456,0.21,6.44253980072315e-118,"2","Higd1a"
9.18907787212228e-122,2.40632883688179,0.272,0.086,2.1103636241116e-117,"2","Rgs3"
9.68241091670986e-122,0.973009217460385,0.851,0.634,2.22366249113159e-117,"2","Selk"
1.16825930339437e-121,1.02230130978095,0.31,0.107,2.6830243161755e-117,"2","Pkp4"
2.76378751927432e-121,1.9320149246195,0.279,0.091,6.34731441676539e-117,"2","Plcg1"
6.00916984315399e-121,1.5798466748533,0.462,0.216,1.38006594617875e-116,"2","Tax1bp3"
6.2552787321105e-121,1.38717542368863,0.85,0.677,1.4365873136165e-116,"2","Gpx1"
8.26876394360377e-121,1.5614596512121,0.402,0.168,1.89900432728804e-116,"2","Bnip3"
1.01439196546571e-120,1.06390881405165,0.714,0.462,2.32965258788855e-116,"2","Gabarapl2"
1.12533887399593e-120,1.734888931136,0.615,0.354,2.58445325801905e-116,"2","Ndufb11"
7.4775894306579e-120,1.31124361785437,0.705,0.449,1.71730318864489e-115,"2","Hint1"
2.90356456953968e-119,1.58719456657436,0.315,0.113,6.66832639040482e-115,"2","H2-Q4"
1.01599477740545e-117,1.68865330816876,0.593,0.343,2.33333360578935e-113,"2","1500032L24Rik"
2.17246183217153e-117,1.97182416748023,0.283,0.095,4.98927584376514e-113,"2","Cdk17"
3.33586998041913e-117,1.37824311117447,0.747,0.513,7.66115899703057e-113,"2","Atp5e"
5.03472950300426e-117,1.77249212621974,0.38,0.157,1.15627597765996e-112,"2","Adipor2"
1.50789305219441e-116,1.1790106870688,0.78,0.556,3.46302718366968e-112,"2","Cox6b1"
4.53023773680345e-115,1.30347372431128,0.716,0.46,1.04041439863428e-110,"2","Ost4"
1.64300835370371e-114,1.4704365477458,0.628,0.373,3.77333298511594e-110,"2","Nrp1"
1.67750412073196e-114,1.72872897403296,0.306,0.109,3.85255596367302e-110,"2","Swap70"
2.08761876348763e-114,1.72262473274709,0.25,0.078,4.7944252522257e-110,"2","Cdc42bpb"
2.42595108669042e-114,0.850404311611449,0.96,0.898,5.57143926569321e-110,"2","Rps14"
6.08213669417885e-114,1.51454767913743,0.708,0.476,1.39682351318512e-109,"2","Lrrc8a"
7.20372222145454e-114,1.49807026109961,0.441,0.205,1.65440684537925e-109,"2","B3gnt2"
1.48911835727187e-113,1.3176569046771,0.576,0.324,3.41990921931057e-109,"2","Syf2"
1.98807932827408e-113,1.68095667044585,0.403,0.176,4.56582298531426e-109,"2","Lbr"
2.2269214836862e-113,1.49309632104715,0.426,0.19,5.11434787943373e-109,"2","Gbp7"
2.98239132620705e-113,1.86897955547186,0.634,0.384,6.84935991976712e-109,"2","Uqcr10"
4.49644512556975e-113,2.07959199643573,0.268,0.089,1.03265358753835e-108,"2","Tjp2"
5.21413372590802e-113,1.87656259327096,0.264,0.086,1.19747795149204e-108,"2","Nomo1"
6.29602622565497e-113,0.854722132484326,0.96,0.895,1.44594538298392e-108,"2","Rpl37a"
1.58672743304572e-112,1.50634125243866,0.411,0.182,3.64407822273281e-108,"2","Max"
2.56731848901221e-112,1.84347096040709,0.525,0.294,5.89610364186544e-108,"2","Ccnl1"
7.42685256103169e-112,1.15469428501998,0.91,0.813,1.70565095916654e-107,"2","Rpl36"
1.85057744148087e-111,1.54290487832137,0.31,0.113,4.25003615210498e-107,"2","Tspan9"
4.10980080751783e-111,1.90132290757246,0.511,0.267,9.43856853454546e-107,"2","Capns1"
1.01304627717961e-110,1.71587696168471,0.274,0.093,2.3265620801707e-106,"2","Myo1e"
4.4082044538476e-110,1.56998423588327,0.46,0.229,1.01238823487064e-105,"2","Pttg1"
3.27394335870526e-109,1.6535814720861,0.421,0.195,7.51893831760249e-105,"2","Ppdpf"
1.04520119309937e-108,1.2165624140666,0.275,0.093,2.40040906007202e-104,"2","Thra"
1.22165267794052e-108,1.3853973327817,0.65,0.411,2.8056475401582e-104,"2","Dynlrb1"
1.32704691452989e-108,1.4799581088854,0.584,0.335,3.04769594390934e-104,"2","Anp32a"
1.39716451228793e-108,1.48990852999316,0.457,0.226,3.20872801892045e-104,"2","Commd1"
3.8619002232736e-108,1.30637683837309,0.422,0.192,8.86924005277014e-104,"2","Polr2m"
4.84942315095654e-108,2.00691714812389,0.294,0.107,1.11371852084868e-103,"2","Ctdsp1"
7.25149822976064e-108,1.5625436802907,0.387,0.172,1.66537908344683e-103,"2","Zcrb1"
8.03471359626097e-108,1.17675552955389,0.704,0.456,1.84525232451729e-103,"2","Edf1"
1.29163902953583e-107,1.65412706677614,0.508,0.274,2.966378195232e-103,"2","Hist1h2bc"
1.6175847756206e-107,1.38283702706106,0.464,0.225,3.71494519569026e-103,"2","Osbpl9"
1.82652688853508e-107,2.10122514867787,0.259,0.088,4.19480165220967e-103,"2","Rdm1"
2.71361833617534e-107,1.83070482088702,0.264,0.089,6.2320958708603e-103,"2","Zfp664"
9.59698784763499e-107,0.9923661783346,0.478,0.234,2.20404422908785e-102,"2","Rab6a"
6.55138414947195e-105,1.81331792646424,0.34,0.138,1.50459088376773e-100,"2","Fryl"
6.92748104038245e-105,1.75231205069436,0.273,0.095,1.59096529573423e-100,"2","Dnajc10"
